Text,Source,Confidence Score
I love this product!,Twitter,0.85
The service was terrible.,Yelp Reviews,0.65
This movie is amazing!,IMDb,0.92
I'm so disappointed with their customer support.,Online Forum,0.78
Just had the best meal of my life!,TripAdvisor,0.88
The quality of this product is subpar.,Amazon Reviews,0.72
I can't stop listening to this song. It's incredible!,Spotify,0.91
Their website is so user-friendly. Love it!,Website Testimonial,0.87
I loved the movie! It was fantastic!,IMDb,0.92
The customer service was terrible.,Yelp Reviews,0.65
This book made me feel inspired. Highly recommended!,Goodreads,0.88
I'm extremely disappointed with their product quality.,Online Store,0.72
Just had the most amazing vacation! I can't wait to go back.,TripAdvisor,0.93
The food at this restaurant was awful. Never going back again!,Zomato,0.55
I can't stop listening to this song. It's my new favorite!,Spotify,0.91
Their website is so confusing and poorly designed.,Website Review,0.68
I had an incredible experience at the theme park. So much fun!,Trip Report,0.89
The product arrived damaged. Very disappointed.,Online Store,0.76
The concert was absolutely breathtaking. Best performance ever!,Event Review,0.95
I had a terrible experience with their customer support.,Online Chat,0.61
This movie is a masterpiece! I was blown away.,IMDb,0.93
The customer service at this store is top-notch.,Yelp Reviews,0.82
I'm disappointed with the ending of this book. It fell flat.,Goodreads,0.68
The product I received was damaged. Unacceptable.,Online Store,0.75
Just had the worst flight experience. Delayed and rude staff.,Airline Review,0.57
The hotel stay was absolutely amazing! Luxury at its finest.,TripAdvisor,0.95
The food at this restaurant was outstanding. Highly recommended!,Zomato,0.89
This playlist is my go-to for workouts. Energizing and motivating!,Spotify,0.91
I had a frustrating experience navigating through their website.,Website Review,0.67
The roller coaster ride was thrilling! Heart-pounding excitement!,Theme Park Review,0.92
The product I ordered never arrived. Terrible service.,Online Store,0.64
I can't get enough of this band. Their music is incredible!,Music Review,0.94
I had a great chat with their customer support. Helpful and friendly.,Online Chat,0.85
This restaurant has the most delicious food. I can't wait to go back!,TripAdvisor,0.94
The product I purchased broke within a week. Poor quality.,Online Store,0.61
This book is thought-provoking and beautifully written. Highly recommended!,Goodreads,0.89
The customer service at this store is exceptional. They went above and beyond.,Retail Store,0.87
I had a terrible experience with their technical support. No resolution.,Online Helpdesk,0.63
The live concert was electrifying! The band's energy was contagious.,Event Review,0.92
I'm disappointed with the food at this restaurant. It was tasteless.,Zomato,0.68
This song always puts me in a good mood. It's my go-to feel-good track!,Spotify,0.93
The website is slow and unresponsive. Difficult to navigate.,Website Review,0.65
The roller coaster ride was exhilarating! Pure adrenaline rush!,Theme Park Review,0.95
The product I ordered arrived damaged. Very disappointed with the packaging.,Online Store,0.67
I'm captivated by this band's unique sound. They're a breath of fresh air!,Music Review,0.94
The customer support was quick to respond and resolved my issue. Impressed!,Online Chat,0.85
This restaurant has the best food. I highly recommend it!,Yelp Reviews,0.9
The plot of this movie is confusing and hard to follow.,IMDb,0.62
I'm addicted to this game. It's so much fun!,Gaming Forum,0.88
The customer service at this hotel was terrible. Avoid at all costs.,Travel Website,0.57
This book bored me to tears. I couldn't finish it.,Goodreads,0.68
I'm impressed with the sound quality of these headphones. Excellent!,Online Store,0.92
The website design is sleek and user-friendly. Easy to navigate.,Website Testimonial,0.87
I had a terrible experience with their delivery service. Late and unprofessional.,Online Store,0.64
The concert was mind-blowing! The band knows how to put on a show.,Event Review,0.95
I'm extremely disappointed with the customer support. No resolution.,Online Chat,0.61
The hotel staff were rude and unprofessional. Terrible customer service.,Hotel Review,0.55
The food at this restaurant was mediocre. Nothing special.,Zomato,0.65
This song always puts me in a nostalgic mood. It reminds me of good times.,Spotify,0.88
The website loading speed is frustratingly slow. Needs improvement.,Website Review,0.62
The food at this cafe exceeded my expectations. Absolutely delicious!,Food Blog,0.92
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,TV Show Review,0.66
This album is a masterpiece. Every song is a work of art!,Music Review,0.93
The website layout is cluttered and confusing. Difficult to find information.,Website Review,0.67
The roller coaster at this theme park is a thrilling experience. A must-try!,Theme Park Review,0.91
The product I ordered never arrived. Poor customer service.,Online Store,0.63
I'm in awe of this artist's talent. Their paintings are breathtaking!,Art Review,0.94
The food at this restaurant was disappointing. Not worth the price.,Zomato,0.68
This playlist is perfect for relaxation. Soothing and calming!,Spotify,0.91
The website navigation is smooth and intuitive. I found what I needed quickly.,Website Testimonial,0.88
The ride on this cruise ship was an unforgettable experience. I loved every moment!,Travel Blog,0.95
The product I received was of poor quality. It broke after a few uses.,Online Store,0.61
This book kept me hooked from start to finish. A captivating read!,Goodreads,0.9
The customer service at this store is outstanding. They truly care about their customers.,Retail Store,0.92
I had a frustrating experience with their technical support. No resolution provided.,Online Helpdesk,0.67
The hotel staff were rude and unprofessional. Terrible customer service.,Hotel Review,0.55
The food at this restaurant was mediocre. Nothing special.,Zomato,0.65
This song always puts me in a nostalgic mood. It reminds me of good times.,Spotify,0.88
The website loading speed is frustratingly slow. Needs improvement.,Website Review,0.62
I love this product!,Twitter,0.85
The service was terrible.,Yelp Reviews,0.65
This movie is amazing!,IMDb,0.92
I'm so disappointed with their customer support.,Online Forum,0.78
Just had the best meal of my life!,TripAdvisor,0.88
The quality of this product is subpar.,Amazon Reviews,0.72
I can't stop listening to this song. It's incredible!,Spotify,0.91
Their website is so user-friendly. Love it!,Website Testimonial,0.87
I loved the movie! It was fantastic!,IMDb,0.92
The customer service was terrible.,Yelp Reviews,0.65
This book made me feel inspired. Highly recommended!,Goodreads,0.88
I'm extremely disappointed with their product quality.,Online Store,0.72
Just had the most amazing vacation! I can't wait to go back.,TripAdvisor,0.93
The food at this restaurant was awful. Never going back again!,Zomato,0.55
I can't stop listening to this song. It's my new favorite!,Spotify,0.91
Their website is so confusing and poorly designed.,Website Review,0.68
I had an incredible experience at the theme park. So much fun!,Trip Report,0.89
,,
,,
